1	Uma população	compreende	os indivíduos de uma espécie	1
1	Uma população	compreende os indivíduos de uma espécie dentro@de	uma dada área	1
2	As fronteiras de uma população	podem ser	as naturais	1
3	os indivíduos	vivem	adequadas	0
3	os indivíduos	vivem adequadas dentro@de	partes de habitat	1
3	suas abundâncias	podem variar	locais de ninho	0
3	a população	tem	uma estrutura espacial	1
4	A estrutura de a população	proporciona	uma visão rápida	1
4	A estrutura de a população	proporciona uma visão rápida em	um determinado instante de tempo	1
5	As populações	apresentam	comportamento dinâmico	1
6	A regulação de esse processos	depende de	várias interações de indivíduos com os seus ambientes	1
7	a evolução	tornam se	evidentes	0
9	indivíduos	são	descendentes de outros	1
9	A população	tem	que estavam vivos em um tempo anterior	0
9	indivíduos	estão	vivos	1
9	indivíduos	estão vivos em	um determinado tempo	1
10	A população	tem	terem ancestrais comuns	0
11	os indivíduos	herdam	seus genes de um depósito comum	1
11	os indivíduos	herdam seus genes de um depósito comum dentro@de	uma população	1
11	os indivíduos	herdam seus genes de um depósito comum a	o meio ambiente	0
11	os indivíduos	compartilham	uma história comum de adaptação	1
11	os indivíduos	compartilham uma história comum de adaptação dentro@de	uma população	1
11	os indivíduos	compartilham uma história comum de adaptação a	o meio ambiente	1
13	diferentes partes de a população	dividem em	o grau	0
13	diferentes partes de a população	dividem a	mesma dinâmica	1
13	A distribuição e os movimentos de indivíduos	determinam	a coerência espacial de a população	1
14	A medida	transformam	a paisagem	0
14	as populações	tornam	se fragmentadas quando os humanos	0
15	As populações	podem ser subdivididas em	áreas naturais	1
15	As populações	podem ser subdivididas	como resultado de a heterogeneidade de habitat	1
16	A maioria de as populações insulares	passa	caracterizados por pequeno número de indivíduos	0
16	A maioria de as populações insulares	passa caracterizados por pequeno número de indivíduos por	estágios iniciais de colonização	0
17	os ecólogos	devem prestar	uma cuidadosa atenção	1
18	os ecólogos	devem prestar uma cuidadosa atenção a	os tamanhos de as populações	1
18	os indivíduos	podem variar dentro@de	as populações	1
18	os indivíduos	podem variar em	relação	0
18	os indivíduos	podem variar a	o género	0
19	A evolução	ocorre	diferenças genéticas entre indivíduos	0
20	A razão sexual e a estrutura de idade	influenciam	a dinâmica populacional	1
20	A razão sexual e a estrutura de idade	influenciam a dinâmica populacional	devido a as variações	1
21	A razão sexual e a estrutura de idade	influenciam a dinâmica populacional	relacionadas	1
21	as populações	mudam a	o longo de o tempo	1
21	Estes aspectos de a estrutura populacional	são	uma parte importante de a nossa compreensão	1
21	Estes aspectos de a estrutura populacional	são uma parte importante de a nossa compreensão por	isso	0
22	Estes aspectos de a estrutura populacional	são uma parte importante de a nossa compreensão de	como as populações mudam a o longo de o tempo	1
23	A estrutura espacial de uma população	tem	três propriedades principais	1
24	A distribuição de uma população	descreve	a sua abrangência geográfica e ecológica	1
24	a distribuição de a maple-de-açúcar	é interrompida	a leste	1
24	a distribuição de a maple-de-açúcar	é interrompida a leste de	este modo	1
24	a distribuição de a maple-de-açúcar	é interrompida a leste em	os Estados@Unidos e Canadá	1
25	a distribuição de a maple-de-açúcar	é interrompida a leste por	o Oceano@Atlântico	1
25	a maple-de-açúcar	desenvolveu se em	a América@de@o@Norte	1
26	a maple-de-açúcar	não ter@oportunidade de	colonizar essas outras áreas	1
27	a longa distância	revelam se	se expandem com sucesso em novas regiões de colonização	0
27	160 estorninhos europeus	foram	soltos	1
27	160 estorninhos europeus	foram soltos em	o Central@Park	1
28	160 estorninhos europeus	foram soltos em	a cidade de New@York	1
30	a população	expandiu se Em	60 anos	1
30	qualida-dês intrínsecas de uma espécie	determinam se	ela	0
30	qualida-dês intrínsecas de uma espécie	é	boa ou má colonizadora	0
31	o aca-só	determinam	o resultado de as introduções	0
31	ele	se estabelecesse em	New@York	0
31	o prolífico estorninho	foi introduzido	que ele finalmente se estabelecesse em New@York	0
31	o prolífico estorninho	foi introduzido que ele finalmente se estabelecesse em New@York por	o menos	0
32	o prolífico estorninho	foi introduzido que ele finalmente se estabelecesse em New@York em	a Pennsylvania	0
32	os indivíduos	vivem dentro@de	a abrangência geográfica de uma população	1
