1	Uma população	compreende	os indivíduos de uma espécie dentro de uma dada área	1
3	os indivíduos	vivem		0
3	a população	tem	uma estrutura espacial	1
3	a população	tem uma estrutura espacial		0
4	A estrutura de a população	proporciona	uma visão rápida	1
4	A estrutura de a população	proporciona uma visão rápida em	um determinado instante de tempo	1
5	As populações	apresentam	comportamento dinâmico	1
6	A regulação de esse processos	depende de	várias interações de indivíduos	1
6	A regulação de esse processos	depende com	os seus ambientes e entre si	0
9	indivíduos	são	descendentes de outros	1
9	A população	tem	continuidade temporal	1
9	indivíduos	estão	vivos	1
9	indivíduos	estão vivos em	um determinado tempo	1
10	a distribuição	terem	dois indivíduos	0
10	a distribuição	terem dois indivíduos em	geral	0
10	A população	tem	seu ancestral comum	1
11	os indivíduos dentro de uma população	herdam	seus genes de um depósito comum	0
13	A distribuição e os movimentos de indivíduos	dividem a	mesma dinâmica	0
13	os movimentos de indivíduos	determinam		0
14		transformam	a paisagem	0
14	a vulnerabilidade de pequenas	subpopulações a	a extinção ou a a mudança genética drástica	0
16	A maioria de as populações insulares	passa por	estágios iniciais de colonização caracterizados	1
16	A maioria de as populações insulares	passa por	pequeno número de indivíduos	1
17	os ecólogos	devem em	as grandes	0
19	A evolução	ocorre	por isso diferentes dinâmicas populacionais	0
19	A evolução	ocorre por isso diferentes dinâmicas populacionais em	diferentes taxas de nascimento ou de morte	0
20	a estrutura de idade	influenciam	a dinâmica populacional	0
21	Estes aspectos de a estrutura populacional	são	uma parte importante de a nossa compreensão de como as populações	0
21	Estes aspectos de a estrutura populacional	são uma parte importante de a nossa compreensão de como as populações por	isso	0
22	A estrutura espacial de uma população	tem	três propriedades principais : distribuição dispersão e densidade	1
23	A distribuição de uma população	descreve	a sua abrangência geográfica e ecológica	1
23	A distribuição de uma população	descreve a sua abrangência geográfica e ecológica		0
24	a distribuição de a maple-de-açúcar em os Estados Unidos e Canadá	é	a o sul	1
24	a distribuição de a maple-de-açúcar em os Estados Unidos e Canadá	é a o sul por	a baixa precipitação	1
25	a maple-de-açúcar	desenvolveu se em	a América de o Norte	1
25	não	não teve	oportunidade de colonizar essas outras áreas	0
26	a longa distância	revelam se	quando espécies	0
27	York	foram	soltos	0
27	York	foram soltos Por	exemplo	0
27	York	foram soltos em	o Central	0
27	York	foram soltos em	a cidade de New	0
