1	Uma população	compreende	os indivíduos de uma espécie	1
2	As fronteiras de uma população	impostas	limites geográficos de um hábitat	0
3	os indivíduos	vivem de	suas	0
3	os indivíduos	vivem	fronteiras geográficas	0
3	suas abundâncias	podem variar		0
3	a população	tem	uma estrutura espacial	1
4	A estrutura de a população	proporciona	uma visão rápida em um determinado instante de tempo	1
5	As populações	apresentam	comportamento dinâmico	1
6	A regulação de esse processos	depende de	várias interações de indivíduos com os seus ambientes	1
9	A população	tem	continuidade temporal	1
10	a distribuição	terem	ancestrais comuns	0
10	a distribuição	terem ancestrais comuns em	geral	0
10	A população	tem encontra se seu	ancestral comum	0
11	os indivíduos dentro de uma população	herdam	seus genes de um depósito comum	1
11	os indivíduos dentro de uma população	herdam seus genes de um depósito comum	Como resultado	0
11	os indivíduos dentro de uma população	compartilham	uma história comum de adaptação a o meio ambiente	1
11	os indivíduos dentro de uma população	compartilham uma história comum de adaptação a o meio ambiente	Como resultado	0
13	A distribuição e os movimentos de indivíduos	apresentam	independência	1
13	A distribuição e os movimentos de indivíduos	apresentam independência		0
13	A distribuição e os movimentos de indivíduos	apresentam independência		0
13	A distribuição e os movimentos de indivíduos	determinam dividem	o grau	0
13	A distribuição e os movimentos de indivíduos	determinam dividem o grau		0
14	os humanos	transformam	as questões de coerência populacional	1
14	a vulnerabilidade de pequenas	subpopulações a	a extinção ou a a mudança genética drástica	0
16	A maioria de as populações insulares	passa por	estágios iniciais de colonização caracterizados por pequeno número de indivíduos	1
20	A razão sexual e a estrutura de idade	influenciam	a dinâmica populacional	1
21	as populações	mudam a	o longo de o tempo	1
22	A estrutura espacial de uma população	tem	três propriedades principais	1
23	A distribuição de uma população	descreve	a sua abrangência geográfica e ecológica	1
24	a distribuição de a maple-de-açúcar em os Estados Unidos e Canadá	é interrompida	a oeste	1
24	a distribuição de a maple-de-açúcar em os Estados Unidos e Canadá	é interrompida a oeste de	este modo	0
24	a distribuição de a maple-de-açúcar em os Estados Unidos e Canadá	é interrompida a oeste por	a baixa precipitação	1
25	a maple-de-açúcar	desenvolveu se em	a América de o Norte	1
25	a maple-de-açúcar	não teve	oportunidade de colonizar essas outras áreas	1
25	a maple-de-açúcar	não teve oportunidade de colonizar essas outras áreas em	a América de o Norte	1
